"Eastern Conference","W","L","W/L%","GB","PS/G","PA/G","SRS"
"Boston Celtics (1) ","60","16",".789","—","121.0","109.3","11.33"
"Milwaukee Bucks (2) ","47","29",".618","13.0","120.0","116.8","2.79"
"Cleveland Cavaliers (3) ","46","31",".597","14.5","112.6","109.9","2.39"
"Orlando Magic (4) ","45","31",".592","15.0","110.5","108.2","1.81"
"New York Knicks (5) ","45","31",".592","15.0","112.5","107.9","4.27"
"Indiana Pacers (6) ","43","34",".558","17.5","122.7","120.3","2.13"
"Miami Heat (7) ","42","34",".553","18.0","109.8","108.4","0.85"
"Philadelphia 76ers (8) ","42","35",".545","18.5","114.2","112.0","2.01"
"Chicago Bulls (9) ","36","40",".474","24.0","111.9","113.6","-1.91"
"Atlanta Hawks (10) ","36","41",".468","24.5","118.8","120.0","-1.51"
"Brooklyn Nets (11) ","30","47",".390","30.5","111.2","113.7","-2.57"
"Toronto Raptors (12) ","23","53",".303","37.0","112.3","118.7","-6.30"
"Charlotte Hornets (13) ","18","58",".237","42.0","106.1","116.6","-10.63"
"Washington Wizards (14) ","15","62",".195","45.5","113.4","122.9","-9.42"
"Detroit Pistons (15) ","13","63",".171","47.0","110.6","119.4","-8.58"
