"Western Conference","W","L","W/L%","GB","PS/G","PA/G","SRS"
"Phoenix Suns (1) ","9","2",".818","—","115.3","112.6","1.00"
"Oklahoma City Thunder (2) ","9","2",".818","—","117.4","105.2","13.80"
"Golden State Warriors (3) ","9","2",".818","—","121.2","110.1","10.85"
"Denver Nuggets (4) ","7","3",".700","1.5","120.9","118.0","3.69"
"Houston Rockets (5) ","7","4",".636","2.0","111.4","106.5","7.21"
"Memphis Grizzlies (6) ","7","4",".636","2.0","120.9","111.5","6.25"
"Los Angeles Lakers (7) ","6","4",".600","2.5","116.6","116.9","-1.08"
"Los Angeles Clippers (8) ","6","5",".545","3.0","110.3","108.8","3.20"
"Minnesota Timberwolves (9) ","6","5",".545","3.0","113.3","109.6","0.99"
"Sacramento Kings (10) ","6","5",".545","3.0","115.5","113.3","-1.15"
"Dallas Mavericks (11) ","5","6",".455","4.0","114.4","111.0","4.38"
"San Antonio Spurs (12) ","5","6",".455","4.0","107.2","107.3","1.00"
"Portland Trail Blazers (13) ","4","8",".333","5.5","106.9","115.9","-8.35"
"New Orleans Pelicans (14) ","3","8",".273","6.0","107.0","116.5","-9.70"
"Utah Jazz (15) ","2","8",".200","6.5","105.7","119.0","-11.26"
