Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Apr 1 2023,7:30p,Dallas Mavericks,,Miami Heat,,,,,FTX Arena,
Sat Apr 1 2023,8:30p,Los Angeles Clippers,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Apr 2 2023,1:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
Sun Apr 2 2023,3:30p,Utah Jazz,,Brooklyn Nets,,,,,Barclays Center,
Sun Apr 2 2023,3:30p,Memphis Grizzlies,,Chicago Bulls,,,,,United Center,
Sun Apr 2 2023,3:30p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,Target Center,
Sun Apr 2 2023,6:00p,Dallas Mavericks,,Atlanta Hawks,,,,,State Farm Arena,
Sun Apr 2 2023,6:00p,San Antonio Spurs,,Sacramento Kings,,,,,Golden 1 Center,
Sun Apr 2 2023,6:00p,Detroit Pistons,,Orlando Magic,,,,,Amway Center,
Sun Apr 2 2023,6:00p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Apr 2 2023,7:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
Sun Apr 2 2023,7:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,Paycom Center,
Sun Apr 2 2023,8:00p,Philadelphia 76ers,,Milwaukee Bucks,,,,,Fiserv Forum,
Sun Apr 2 2023,8:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Apr 2 2023,8:30p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
Tue Apr 4 2023,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
Tue Apr 4 2023,7:00p,Milwaukee Bucks,,Washington Wizards,,,,,Capital One Arena,
Tue Apr 4 2023,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
Tue Apr 4 2023,7:00p,Miami Heat,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Apr 4 2023,7:30p,Minnesota Timberwolves,,Brooklyn Nets,,,,,Barclays Center,
Tue Apr 4 2023,8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,
Tue Apr 4 2023,8:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,FedEx Forum,
Tue Apr 4 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Apr 4 2023,8:00p,Boston Celtics,,Philadelphia 76ers,,,,,Wells Fargo Center,
Tue Apr 4 2023,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
Tue Apr 4 2023,9:00p,Los Angeles Lakers,,Utah Jazz,,,,,Vivint Arena,
Tue Apr 4 2023,10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
Tue Apr 4 2023,10:00p,San Antonio Spurs,,Phoenix Suns,,,,,Footprint Center,
Wed Apr 5 2023,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Apr 5 2023,7:00p,New York Knicks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Apr 5 2023,7:30p,Washington Wizards,,Atlanta Hawks,,,,,State Farm Arena,
Wed Apr 5 2023,7:30p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
Wed Apr 5 2023,7:30p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Apr 5 2023,8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Apr 5 2023,8:30p,Sacramento Kings,,Dallas Mavericks,,,,,American Airlines Center,
Wed Apr 5 2023,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,Crypto.com Arena,
Thu Apr 6 2023,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
Thu Apr 6 2023,7:30p,Miami Heat,,Philadelphia 76ers,,,,,Wells Fargo Center,
Thu Apr 6 2023,8:00p,Portland Trail Blazers,,San Antonio Spurs,,,,,Moody Center,
Thu Apr 6 2023,9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Vivint Arena,
Thu Apr 6 2023,10:00p,Denver Nuggets,,Phoenix Suns,,,,,Footprint Center,
Fri Apr 7 2023,7:00p,Houston Rockets,,Charlotte Hornets,,,,,Spectrum Center,
Fri Apr 7 2023,7:00p,Miami Heat,,Washington Wizards,,,,,Capital One Arena,
Fri Apr 7 2023,7:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Fri Apr 7 2023,7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,
Fri Apr 7 2023,7:30p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
Fri Apr 7 2023,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,State Farm Arena,
Fri Apr 7 2023,8:00p,Memphis Grizzlies,,Milwaukee Bucks,,,,,Fiserv Forum,
Fri Apr 7 2023,8:00p,New York Knicks,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Apr 7 2023,8:30p,Chicago Bulls,,Dallas Mavericks,,,,,American Airlines Center,
Fri Apr 7 2023,10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,
Fri Apr 7 2023,10:30p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sat Apr 8 2023,3:30p,Denver Nuggets,,Utah Jazz,,,,,Vivint Arena,
Sat Apr 8 2023,4:00p,Portland Trail Blazers,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Apr 8 2023,4:00p,Minnesota Timberwolves,,San Antonio Spurs,,,,,Moody Center,
Sun Apr 9 2023,1:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
Sun Apr 9 2023,1:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,Barclays Center,
Sun Apr 9 2023,1:00p,Detroit Pistons,,Chicago Bulls,,,,,United Center,
Sun Apr 9 2023,1:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
