Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Jan 1 2024,3:00p,Minnesota Timberwolves,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Jan 1 2024,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Jan 1 2024,8:00p,Detroit Pistons,,Houston Rockets,,,,,Toyota Center,
Mon Jan 1 2024,8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,
Mon Jan 1 2024,9:00p,Charlotte Hornets,,Denver Nuggets,,,,,Ball Arena,
Mon Jan 1 2024,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,
Mon Jan 1 2024,9:00p,Dallas Mavericks,,Utah Jazz,,,,,Delta Center,
Mon Jan 1 2024,10:30p,Miami Heat,,Los Angeles Clippers,,,,,Crypto.com Arena,
Tue Jan 2 2024,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,
Tue Jan 2 2024,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,FedEx Forum,
Tue Jan 2 2024,8:00p,Brooklyn Nets,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Jan 2 2024,8:00p,Boston Celtics,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Jan 2 2024,10:00p,Orlando Magic,,Golden State Warriors,,,,,Chase Center,
Tue Jan 2 2024,10:00p,Charlotte Hornets,,Sacramento Kings,,,,,Golden 1 Center,
Wed Jan 3 2024,7:00p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Jan 3 2024,7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Jan 3 2024,7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,,,State Farm Arena,
Wed Jan 3 2024,8:00p,Brooklyn Nets,,Houston Rockets,,,,,Toyota Center,
Wed Jan 3 2024,8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,FedEx Forum,
Wed Jan 3 2024,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,Target Center,
Wed Jan 3 2024,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,
Wed Jan 3 2024,8:30p,Chicago Bulls,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Jan 3 2024,9:00p,Los Angeles Clippers,,Phoenix Suns,,,,,Footprint Center,
Wed Jan 3 2024,9:00p,Detroit Pistons,,Utah Jazz,,,,,Delta Center,
Wed Jan 3 2024,10:00p,Miami Heat,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Jan 3 2024,10:00p,Orlando Magic,,Sacramento Kings,,,,,Golden 1 Center,
Thu Jan 4 2024,7:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,Frost Bank Center,
Thu Jan 4 2024,10:00p,Denver Nuggets,,Golden State Warriors,,,,,Chase Center,
Fri Jan 5 2024,7:00p,Utah Jazz,,Boston Celtics,,,,,TD Garden,
Fri Jan 5 2024,7:00p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Fri Jan 5 2024,7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,Barclays Center,
Fri Jan 5 2024,7:30p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Jan 5 2024,7:30p,New York Knicks,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Jan 5 2024,8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
Fri Jan 5 2024,8:00p,Minnesota Timberwolves,,Houston Rockets,,,,,Toyota Center,
Fri Jan 5 2024,8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Jan 5 2024,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,
Fri Jan 5 2024,9:00p,Orlando Magic,,Denver Nuggets,,,,,Ball Arena,
Fri Jan 5 2024,9:00p,Miami Heat,,Phoenix Suns,,,,,Footprint Center,
Fri Jan 5 2024,10:00p,Detroit Pistons,,Golden State Warriors,,,,,Chase Center,
Fri Jan 5 2024,10:00p,Memphis Grizzlies,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Jan 5 2024,10:00p,Toronto Raptors,,Sacramento Kings,,,,,Golden 1 Center,
Sat Jan 6 2024,7:00p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Jan 6 2024,7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,
Sat Jan 6 2024,7:30p,Utah Jazz,,Philadelphia 76ers,,,,,Wells Fargo Center,
Sat Jan 6 2024,8:00p,Milwaukee Bucks,,Houston Rockets,,,,,Toyota Center,
Sun Jan 7 2024,1:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Jan 7 2024,3:00p,Portland Trail Blazers,,Brooklyn Nets,,,,,Barclays Center,
Sun Jan 7 2024,6:00p,Atlanta Hawks,,Orlando Magic,,,,,Amway Center,
Sun Jan 7 2024,6:00p,New Orleans Pelicans,,Sacramento Kings,,,,,Golden 1 Center,
Sun Jan 7 2024,7:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
Sun Jan 7 2024,8:00p,Detroit Pistons,,Denver Nuggets,,,,,Ball Arena,
Sun Jan 7 2024,8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,
Sun Jan 7 2024,8:30p,Toronto Raptors,,Golden State Warriors,,,,,Chase Center,
Sun Jan 7 2024,9:30p,Los Angeles Clippers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Jan 8 2024,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,Spectrum Center,
Mon Jan 8 2024,7:00p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Jan 8 2024,7:00p,Oklahoma City Thunder,,Washington Wizards,,,,,Capital One Arena,
Mon Jan 8 2024,7:30p,Houston Rockets,,Miami Heat,,,,,Kaseya Center,
Mon Jan 8 2024,8:00p,Utah Jazz,,Milwaukee Bucks,,,,,Fiserv Forum,
Mon Jan 8 2024,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,Crypto.com Arena,
Tue Jan 9 2024,7:00p,Sacramento Kings,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Jan 9 2024,7:00p,Minnesota Timberwolves,,Orlando Magic,,,,,Amway Center,
Tue Jan 9 2024,7:30p,Portland Trail Blazers,,New York Knicks,,,,,Madison Square Garden (IV),
Tue Jan 9 2024,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,American Airlines Center,
Tue Jan 9 2024,10:30p,Toronto Raptors,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Jan 10 2024,7:00p,Minnesota Timberwolves,,Boston Celtics,,,,,TD Garden,
Wed Jan 10 2024,7:00p,Sacramento Kings,,Charlotte Hornets,,,,,Spectrum Center,
Wed Jan 10 2024,7:00p,San Antonio Spurs,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Jan 10 2024,7:00p,Washington Wizards,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Jan 10 2024,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,State Farm Arena,
Wed Jan 10 2024,7:30p,Oklahoma City Thunder,,Miami Heat,,,,,Kaseya Center,
Wed Jan 10 2024,8:00p,Houston Rockets,,Chicago Bulls,,,,,United Center,
Wed Jan 10 2024,8:30p,New Orleans Pelicans,,Golden State Warriors,,,,,Chase Center,
Wed Jan 10 2024,10:00p,Denver Nuggets,,Utah Jazz,,,,,Delta Center,
Wed Jan 10 2024,10:30p,Toronto Raptors,,Los Angeles Clippers,,,,,Crypto.com Arena,
Thu Jan 11 2024,2:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,AccorHotels Arena,
Thu Jan 11 2024,7:30p,Boston Celtics,,Milwaukee Bucks,,,,,Fiserv Forum,
Thu Jan 11 2024,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Jan 11 2024,8:30p,New York Knicks,,Dallas Mavericks,,,,,American Airlines Center,
Thu Jan 11 2024,10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Jan 12 2024,7:00p,Sacramento Kings,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Jan 12 2024,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,
Fri Jan 12 2024,7:30p,Houston Rockets,,Detroit Pistons,,,,,Little Caesars Arena,
Fri Jan 12 2024,8:00p,Golden State Warriors,,Chicago Bulls,,,,,United Center,
Fri Jan 12 2024,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Jan 12 2024,8:00p,Orlando Magic,,Miami Heat,,,,,Kaseya Center,
Fri Jan 12 2024,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,Target Center,
Fri Jan 12 2024,9:00p,New Orleans Pelicans,,Denver Nuggets,,,,,Ball Arena,
Fri Jan 12 2024,9:30p,Toronto Raptors,,Utah Jazz,,,,,Delta Center,
Fri Jan 12 2024,10:00p,Charlotte Hornets,,San Antonio Spurs,,,,,Frost Bank Center,
Sat Jan 13 2024,7:00p,Houston Rockets,,Boston Celtics,,,,,TD Garden,
Sat Jan 13 2024,7:30p,Washington Wizards,,Atlanta Hawks,,,,,State Farm Arena,
Sat Jan 13 2024,8:00p,New York Knicks,,Memphis Grizzlies,,,,,FedEx Forum,
Sat Jan 13 2024,8:00p,Golden State Warriors,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Jan 13 2024,8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Jan 13 2024,8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
Sat Jan 13 2024,8:30p,Chicago Bulls,,San Antonio Spurs,,,,,Frost Bank Center,
Sat Jan 13 2024,9:30p,Los Angeles Lakers,,Utah Jazz,,,,,Delta Center,
Sun Jan 14 2024,3:30p,Indiana Pacers,,Denver Nuggets,,,,,Ball Arena,
Sun Jan 14 2024,6:00p,Charlotte Hornets,,Miami Heat,,,,,Kaseya Center,
Sun Jan 14 2024,7:00p,Sacramento Kings,,Milwaukee Bucks,,,,,Fiserv Forum,
Sun Jan 14 2024,7:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,Target Center,
Sun Jan 14 2024,9:00p,Phoenix Suns,,Portland Trail Blazers,,,,,Moda Center,
Mon Jan 15 2024,1:00p,Houston Rockets,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Jan 15 2024,2:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
Mon Jan 15 2024,3:00p,Orlando Magic,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Jan 15 2024,3:00p,Detroit Pistons,,Washington Wizards,,,,,Capital One Arena,
Mon Jan 15 2024,3:30p,San Antonio Spurs,,Atlanta Hawks,,,,,State Farm Arena,
Mon Jan 15 2024,6:00p,Golden State Warriors,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Jan 15 2024,7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Mon Jan 15 2024,7:30p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
Mon Jan 15 2024,7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Jan 15 2024,9:00p,Indiana Pacers,,Utah Jazz,,,,,Delta Center,
Mon Jan 15 2024,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
Tue Jan 16 2024,7:30p,Denver Nuggets,,Philadelphia 76ers,,,,,Wells Fargo Center,
Tue Jan 16 2024,9:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
Tue Jan 16 2024,10:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Jan 17 2024,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Jan 17 2024,7:30p,Orlando Magic,,Atlanta Hawks,,,,,State Farm Arena,
Wed Jan 17 2024,7:30p,San Antonio Spurs,,Boston Celtics,,,,,TD Garden,
Wed Jan 17 2024,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Jan 17 2024,7:30p,Houston Rockets,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Jan 17 2024,7:30p,Miami Heat,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Jan 17 2024,8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Jan 17 2024,8:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Jan 17 2024,9:00p,Golden State Warriors,,Utah Jazz,,,,,Delta Center,
Wed Jan 17 2024,10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,Moda Center,
Thu Jan 18 2024,7:30p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
Thu Jan 18 2024,7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,
Thu Jan 18 2024,9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Delta Center,
Thu Jan 18 2024,10:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,Target Center,
Thu Jan 18 2024,10:00p,Indiana Pacers,,Sacramento Kings,,,,,Golden 1 Center,
Fri Jan 19 2024,7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,Spectrum Center,
Fri Jan 19 2024,7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
Fri Jan 19 2024,7:30p,Denver Nuggets,,Boston Celtics,,,,,TD Garden,
Fri Jan 19 2024,8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
Fri Jan 19 2024,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Jan 19 2024,10:00p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
Fri Jan 19 2024,10:00p,Indiana Pacers,,Portland Trail Blazers,,,,,Moda Center,
Fri Jan 19 2024,10:30p,Brooklyn Nets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sat Jan 20 2024,3:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
Sat Jan 20 2024,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,
