Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 18 2022,7:30p,Philadelphia 76ers,117,Boston Celtics,126,Box Score,,19156,TD Garden,
Tue Oct 18 2022,10:00p,Los Angeles Lakers,109,Golden State Warriors,123,Box Score,,18064,Chase Center,
Wed Oct 19 2022,7:00p,Orlando Magic,109,Detroit Pistons,113,Box Score,,20190,Little Caesars Arena,
Wed Oct 19 2022,7:00p,Washington Wizards,114,Indiana Pacers,107,Box Score,,15027,Gainbridge Fieldhouse,
Wed Oct 19 2022,7:30p,Houston Rockets,107,Atlanta Hawks,117,Box Score,,17878,State Farm Arena,
Wed Oct 19 2022,7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Box Score,,18003,Barclays Center,
Wed Oct 19 2022,7:30p,New York Knicks,112,Memphis Grizzlies,115,Box Score,OT,18202,FedEx Forum,
Wed Oct 19 2022,7:30p,Chicago Bulls,116,Miami Heat,108,Box Score,,19600,FTX Arena,
Wed Oct 19 2022,7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Box Score,,19800,Scotiabank Arena,
Wed Oct 19 2022,8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Box Score,,17136,Target Center,
Wed Oct 19 2022,8:00p,Charlotte Hornets,129,San Antonio Spurs,102,Box Score,,16236,AT&T Center,
Wed Oct 19 2022,9:00p,Denver Nuggets,102,Utah Jazz,123,Box Score,,18206,Vivint Arena,
Wed Oct 19 2022,10:00p,Dallas Mavericks,105,Phoenix Suns,107,Box Score,,17071,Footprint Center,
Wed Oct 19 2022,10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Box Score,,17611,Golden 1 Center,
Thu Oct 20 2022,7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,Box Score,,20060,Wells Fargo Center,
Thu Oct 20 2022,10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,Box Score,,18997,Crypto.com Arena,
Fri Oct 21 2022,7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,Box Score,,19287,Spectrum Center,
Fri Oct 21 2022,7:00p,San Antonio Spurs,137,Indiana Pacers,134,Box Score,,12073,Gainbridge Fieldhouse,
Fri Oct 21 2022,7:00p,Chicago Bulls,100,Washington Wizards,102,Box Score,,20476,Capital One Arena,
Fri Oct 21 2022,7:30p,Orlando Magic,98,Atlanta Hawks,108,Box Score,,17822,State Farm Arena,
Fri Oct 21 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,109,Box Score,,17732,Barclays Center,
Fri Oct 21 2022,7:30p,Boston Celtics,111,Miami Heat,104,Box Score,,19600,FTX Arena,
Fri Oct 21 2022,7:30p,Detroit Pistons,106,New York Knicks,130,Box Score,,19812,Madison Square Garden (IV),
Fri Oct 21 2022,8:00p,Memphis Grizzlies,129,Houston Rockets,122,Box Score,,18055,Toyota Center,
Fri Oct 21 2022,8:00p,Utah Jazz,132,Minnesota Timberwolves,126,Box Score,OT,17136,Target Center,
Fri Oct 21 2022,10:00p,Denver Nuggets,128,Golden State Warriors,123,Box Score,,18064,Chase Center,
Fri Oct 21 2022,10:00p,Phoenix Suns,111,Portland Trail Blazers,113,Box Score,OT,19393,Moda Center,
Sat Oct 22 2022,6:00p,San Antonio Spurs,,Philadelphia 76ers,,,,,Wells Fargo Center,
Sat Oct 22 2022,7:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Oct 22 2022,7:00p,Boston Celtics,,Orlando Magic,,,,,Amway Center,
Sat Oct 22 2022,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,United Center,
Sat Oct 22 2022,8:00p,Toronto Raptors,,Miami Heat,,,,,FTX Arena,
Sat Oct 22 2022,8:00p,Houston Rockets,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Oct 22 2022,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,American Airlines Center,
Sat Oct 22 2022,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,
Sat Oct 22 2022,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,
Sun Oct 23 2022,3:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sun Oct 23 2022,5:00p,Charlotte Hornets,,Atlanta Hawks,,,,,State Farm Arena,
Sun Oct 23 2022,7:00p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Oct 23 2022,7:00p,Utah Jazz,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Oct 23 2022,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
Sun Oct 23 2022,8:30p,Sacramento Kings,,Golden State Warriors,,,,,Chase Center,
Sun Oct 23 2022,10:00p,Phoenix Suns,,Los Angeles Clippers,,,,,Crypto.com Arena,
Mon Oct 24 2022,7:00p,Indiana Pacers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Oct 24 2022,7:30p,Toronto Raptors,,Miami Heat,,,,,FTX Arena,
Mon Oct 24 2022,7:30p,Orlando Magic,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Oct 24 2022,8:00p,Boston Celtics,,Chicago Bulls,,,,,United Center,
Mon Oct 24 2022,8:00p,Utah Jazz,,Houston Rockets,,,,,Toyota Center,
Mon Oct 24 2022,8:00p,Brooklyn Nets,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Oct 24 2022,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,Target Center,
Mon Oct 24 2022,10:00p,Denver Nuggets,,Portland Trail Blazers,,,,,Moda Center,
Tue Oct 25 2022,7:00p,Detroit Pistons,,Washington Wizards,,,,,Capital One Arena,
Tue Oct 25 2022,7:30p,Dallas Mavericks,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Oct 25 2022,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Oct 25 2022,10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,
Wed Oct 26 2022,7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Oct 26 2022,7:00p,Atlanta Hawks,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Oct 26 2022,7:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Oct 26 2022,7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Oct 26 2022,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Oct 26 2022,8:00p,Indiana Pacers,,Chicago Bulls,,,,,United Center,
Wed Oct 26 2022,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,Target Center,
Wed Oct 26 2022,9:00p,Houston Rockets,,Utah Jazz,,,,,Vivint Arena,
Wed Oct 26 2022,10:00p,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
Wed Oct 26 2022,10:00p,Miami Heat,,Portland Trail Blazers,,,,,Moda Center,
Thu Oct 27 2022,7:30p,Dallas Mavericks,,Brooklyn Nets,,,,,Barclays Center,
Thu Oct 27 2022,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Oct 27 2022,10:00p,Miami Heat,,Golden State Warriors,,,,,Chase Center,
Thu Oct 27 2022,10:00p,Memphis Grizzlies,,Sacramento Kings,,,,,Golden 1 Center,
Fri Oct 28 2022,7:00p,Atlanta Hawks,,Detroit Pistons,,,,,Little Caesars Arena,
Fri Oct 28 2022,7:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,
Fri Oct 28 2022,7:30p,Cleveland Cavaliers,,Boston Celtics,,,,,TD Garden,
Fri Oct 28 2022,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,Scotiabank Arena,
Fri Oct 28 2022,7:30p,Indiana Pacers,,Washington Wizards,,,,,Capital One Arena,
Fri Oct 28 2022,8:00p,New York Knicks,,Milwaukee Bucks,,,,,Fiserv Forum,
Fri Oct 28 2022,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
Fri Oct 28 2022,8:30p,Chicago Bulls,,San Antonio Spurs,,,,,AT&T Center,
Fri Oct 28 2022,9:00p,Utah Jazz,,Denver Nuggets,,,,,Ball Arena,
Fri Oct 28 2022,10:00p,New Orleans Pelicans,,Phoenix Suns,,,,,Footprint Center,
Fri Oct 28 2022,10:00p,Houston Rockets,,Portland Trail Blazers,,,,,Moda Center,
Sat Oct 29 2022,6:00p,Miami Heat,,Sacramento Kings,,,,,Golden 1 Center,
Sat Oct 29 2022,7:00p,Golden State Warriors,,Charlotte Hornets,,,,,Spectrum Center,
Sat Oct 29 2022,7:30p,Indiana Pacers,,Brooklyn Nets,,,,,Barclays Center,
Sat Oct 29 2022,8:00p,Philadelphia 76ers,,Chicago Bulls,,,,,United Center,
Sat Oct 29 2022,8:00p,Atlanta Hawks,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Oct 29 2022,9:00p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,
Sat Oct 29 2022,9:00p,Memphis Grizzlies,,Utah Jazz,,,,,Vivint Arena,
Sun Oct 30 2022,3:00p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Oct 30 2022,6:00p,Washington Wizards,,Boston Celtics,,,,,TD Garden,
Sun Oct 30 2022,6:00p,New York Knicks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Oct 30 2022,6:00p,Golden State Warriors,,Detroit Pistons,,,,,Little Caesars Arena,
